respondent,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
92,1,1,1,0,1,2,2,-2,0,0,1,0,1,1,1,2,-1,1,2,1,1,0,2,1,2,1,1,0,1,2,1,1,2,2,1,2,2,0,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2
93,-1,-1,1,2,1,0,1,1,1,2,1,2,0,2,1,0,-1,-2,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,0,1,1,0,1,1,0,1,1,-1,2,1,1
94,2,2,0,2,2,2,1,1,2,2,2,0,1,1,2,2,-1,-1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
95,0,2,2,2,1,1,-1,0,0,2,2,2,2,2,2,1,-1,-2,-1,1,1,2,0,2,2,2,2,0,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2
97,1,2,2,1,2,2,2,0,0,2,2,2,0,2,2,1,-1,-2,2,1,0,2,0,1,2,2,1,1,2,2,-1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,1,2,2,2
99,0,1,0,1,1,1,2,0,0,2,1,1,2,1,1,2,0,0,-1,1,1,1,1,1,2,2,1,0,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1
101,1,2,2,2,2,2,1,1,0,1,1,2,2,1,2,2,2,0,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,0,1,1,1,2,2,1,1,1,1,2
102,0,0,2,0,1,1,2,0,1,2,2,2,0,2,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,2,1,1,1,2,2,1,1,2,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,2,1,2,1,2,1,2
103,1,1,1,2,1,2,2,0,-1,2,0,1,2,2,1,2,0,-1,1,2,2,1,0,1,1,1,-1,0,1,1,1,0,1,1,2,1,2,-1,0,1,1,1,1,1,1,1,1,-1,1,2,2,2,2,2,1,1,2,2,1,1
104,1,2,1,1,2,1,0,0,0,2,2,1,0,1,1,2,-2,-2,2,1,0,2,2,0,2,2,2,0,2,2,1,1,2,2,2,2,2,0,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
105,1,1,1,2,2,2,2,1,1,1,2,1,0,2,0,2,0,-2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
106,1,1,1,2,1,0,2,-1,1,0,-1,-1,0,2,0,2,0,-1,1,1,0,2,0,2,2,2,1,0,1,1,2,2,2,0,1,1,1,1,2,0,2,2,1,1,0,2,1,1,1,1,1,2,1,2,1,1,1,2,2,1
