threshold,edges,density,isolates,components,giant_component_frac,avg_clustering
0.1,897,0.23977546110665598,0,1,1.0,0.3561181070237723
0.15,557,0.14889067094359798,0,1,1.0,0.27495166877573196
0.2,325,0.08687516706762898,0,1,1.0,0.24172417995947407
0.25,174,0.046511627906976744,1,2,0.9885057471264368,0.19119686188651705
0.3,79,0.02111734830259289,18,26,0.5977011494252874,0.09261083743842365
0.35,41,0.010959636460839348,38,50,0.22988505747126436,0.02567049808429119
0.4,19,0.005078855920876771,58,68,0.10344827586206896,0.0
0.45,5,0.0013365410318096765,77,82,0.022988505747126436,0.0
0.5,1,0.0002673082063619353,85,86,0.022988505747126436,0.0
