topic_a,topic_b,edges_a,edges_b,shared,jaccard
T,E,221,267,23,0.04946236559139785
T,S,221,245,18,0.04017857142857143
T,V,221,281,21,0.04365904365904366
E,S,267,245,30,0.06224066390041494
E,V,267,281,24,0.04580152671755725
S,V,245,281,33,0.06693711967545639
