,community
11,6
12,3
13,2
14,7
16,4
17,7
18,5
19,1
20,7
21,5
22,0
24,1
26,6
29,5
31,0
32,0
35,4
36,7
37,7
38,2
40,3
41,6
42,3
43,5
45,5
46,5
48,6
49,5
50,4
52,6
53,5
54,4
55,1
56,6
57,5
58,7
59,6
61,5
62,6
63,0
64,0
65,3
66,5
67,1
69,3
70,0
72,2
74,5
79,6
80,6
81,5
82,7
83,4
84,1
85,1
86,5
89,2
90,0
91,3
92,1
93,4
94,2
95,4
97,4
99,0
101,0
102,6
103,7
104,5
105,2
106,2
108,3
109,0
110,5
111,3
113,6
114,4
115,6
116,6
117,6
118,0
119,3
120,0
121,1
123,3
125,3
126,3
