source,target,weight,distance
11,24,0.2708967354546962,0.7291032645453037
11,52,0.25379689249617193,0.746203107503828
11,70,0.23893436282649716,0.7610656371735028
11,91,0.2973887161372566,0.7026112838627434
11,101,0.33681839139431136,0.6631816086056886
11,113,0.3481245774557193,0.6518754225442807
11,115,0.2729439295289211,0.7270560704710789
11,121,0.2772205885824999,0.7227794114175001
11,126,0.2435931262927001,0.7564068737072999
12,19,0.23106009061610783,0.7689399093838922
12,42,0.2744773294560351,0.7255226705439649
12,64,0.2575677802752682,0.7424322197247317
12,65,0.31512493949315545,0.6848750605068445
12,72,0.30320137759744886,0.6967986224025511
12,91,0.28622059481896783,0.7137794051810322
12,92,0.20577978674576877,0.7942202132542312
12,121,0.2161730841491417,0.7838269158508583
12,123,0.29946465154052754,0.7005353484594725
13,19,0.25536568252988917,0.7446343174701109
13,29,0.27954581080163315,0.7204541891983669
13,38,0.3928157549407784,0.6071842450592215
13,89,0.20716814899065492,0.7928318510093451
13,94,0.3003870262624097,0.6996129737375902
13,105,0.22830563379369914,0.7716943662063008
13,110,0.3361304342747596,0.6638695657252405
14,17,0.2605810177446292,0.7394189822553707
14,37,0.21013385723108485,0.7898661427689151
14,40,0.21372483764251254,0.7862751623574875
14,82,0.21910118775074122,0.7808988122492588
14,91,0.2203076336124711,0.7796923663875289
14,93,0.23515317843598765,0.7648468215640123
14,99,0.47898716819217835,0.5210128318078217
14,103,0.2430350082538546,0.7569649917461454
14,111,0.2347433506981982,0.7652566493018018
14,125,0.2108083424864589,0.7891916575135411
16,50,0.29428110315391925,0.7057188968460808
16,57,0.251195225494797,0.748804774505203
16,93,0.3096781370742681,0.6903218629257319
16,95,0.34720768543049574,0.6527923145695043
17,43,0.2212684504494596,0.7787315495505404
17,58,0.30694027044915956,0.6930597295508405
17,79,0.26121979853389055,0.7387802014661095
17,82,0.30173821679568247,0.6982617832043175
17,103,0.28023335643939323,0.7197666435606067
18,21,0.3170973376618983,0.6829026623381017
18,40,0.2423193470724547,0.7576806529275453
18,43,0.243070506895247,0.756929493104753
18,49,0.24814044670936633,0.7518595532906337
18,57,0.2436484168071382,0.7563515831928618
18,66,0.2542664623993758,0.7457335376006242
18,79,0.2821786895407958,0.7178213104592042
18,82,0.21601727392384595,0.783982726076154
19,37,0.2364115560053411,0.7635884439946589
19,67,0.23175223386567173,0.7682477661343283
19,84,0.26074505190861796,0.739254948091382
19,85,0.2827704458282107,0.7172295541717892
19,89,0.22319803252455367,0.7768019674754463
19,92,0.2564411117579713,0.7435588882420288
19,121,0.3929539502168553,0.6070460497831447
20,67,0.253275534248085,0.746724465751915
20,82,0.2523032197688922,0.7476967802311079
20,94,0.27256221249246254,0.7274377875075375
20,95,0.2585357546826864,0.7414642453173136
20,110,0.2721091963351998,0.7278908036648002
21,46,0.2990243670439543,0.7009756329560457
21,49,0.22359975151781292,0.776400248482187
21,57,0.41481060546900494,0.585189394530995
21,67,0.29711021297461937,0.7028897870253806
21,81,0.3397168733242642,0.6602831266757359
21,105,0.24414931534924078,0.7558506846507592
21,110,0.3928558049520664,0.6071441950479336
22,32,0.2119008262475714,0.7880991737524286
22,90,0.34873287209852394,0.6512671279014761
22,91,0.21030261505815911,0.7896973849418409
22,101,0.2906622768422963,0.7093377231577037
24,85,0.20981233794040322,0.7901876620595968
24,121,0.431472221539233,0.568527778460767
24,126,0.2272197519628375,0.7727802480371625
26,66,0.25405606865969416,0.7459439313403058
26,102,0.20978425498909262,0.7902157450109074
26,116,0.3700136721343275,0.6299863278656725
29,43,0.2606485059457516,0.7393514940542484
29,55,0.25839304531719265,0.7416069546828074
29,56,0.2167192964028743,0.7832807035971256
29,57,0.21467976395470678,0.7853202360452932
29,61,0.2555279269470354,0.7444720730529646
29,62,0.28114167789807265,0.7188583221019273
29,66,0.2131152779999781,0.7868847220000219
29,92,0.20735565081818264,0.7926443491818174
29,110,0.21739341072624252,0.7826065892737575
31,67,0.22918348753297285,0.7708165124670272
31,90,0.34812171411297166,0.6518782858870283
31,101,0.2640013475678396,0.7359986524321604
32,52,0.21939441775108082,0.7806055822489192
32,70,0.23279661280387937,0.7672033871961206
32,90,0.32709871407755914,0.6729012859224408
32,99,0.2123331804190094,0.7876668195809906
32,101,0.261875952150458,0.738124047849542
35,48,0.33085254378783385,0.6691474562121662
35,54,0.290048073508193,0.709951926491807
35,64,0.2564264896520489,0.743573510347951
35,83,0.3346250284767344,0.6653749715232655
35,114,0.40388615530535393,0.5961138446946461
35,121,0.22910191598408258,0.7708980840159174
36,82,0.262381772937301,0.737618227062699
37,50,0.26002561654931206,0.739974383450688
37,58,0.24799897356198436,0.7520010264380157
37,66,0.22034326060873952,0.7796567393912605
37,90,0.21203758759391358,0.7879624124060864
37,114,0.29726098023134345,0.7027390197686565
38,64,0.21932816446066486,0.7806718355393352
38,67,0.28972232018330324,0.7102776798166968
38,94,0.2088954231399013,0.7911045768600987
38,110,0.28313520740596165,0.7168647925940383
38,116,0.2192391663624112,0.7807608336375889
40,42,0.25434433788927713,0.7456556621107229
40,82,0.26379834360811244,0.7362016563918876
40,108,0.3714317079407354,0.6285682920592646
40,120,0.2228546246137738,0.7771453753862262
40,123,0.2060972787027834,0.7939027212972166
41,50,0.34892833742974866,0.6510716625702513
41,52,0.4355035008449774,0.5644964991550225
41,56,0.211198319043844,0.788801680956156
41,62,0.3434362855803285,0.6565637144196714
41,111,0.2372282669268105,0.7627717330731895
42,56,0.22463265705184243,0.7753673429481576
42,65,0.22621437742954917,0.7737856225704508
42,72,0.20918018169711208,0.790819818302888
42,91,0.3967064103357867,0.6032935896642133
42,105,0.2757270542006039,0.7242729457993962
42,119,0.22818765840652733,0.7718123415934727
43,81,0.21543846219985255,0.7845615378001475
43,89,0.24079521419877464,0.7592047858012254
45,46,0.2431360759504689,0.7568639240495311
45,57,0.23504036300889902,0.7649596369911009
45,63,0.3459881344903589,0.6540118655096411
45,65,0.23715464374495326,0.7628453562550468
45,109,0.20646550163728777,0.7935344983627122
45,110,0.21150162956194266,0.7884983704380574
46,52,0.2643204796246062,0.7356795203753939
46,110,0.2060273707400614,0.7939726292599386
48,79,0.21509361624612314,0.7849063837538769
48,115,0.23267402283373345,0.7673259771662666
48,117,0.4282263979697621,0.571773602030238
49,53,0.2737973403613386,0.7262026596386614
49,57,0.39574139884036813,0.6042586011596318
49,61,0.38489210981466104,0.615107890185339
49,62,0.30636535933837167,0.6936346406616283
49,66,0.35907912811207054,0.6409208718879295
49,86,0.4070057210271564,0.5929942789728436
49,97,0.25580752340564356,0.7441924765943564
49,104,0.39926046794359404,0.600739532056406
49,110,0.23712196757883708,0.7628780324211629
50,52,0.2736489139603472,0.7263510860396528
50,83,0.3226689852704932,0.6773310147295069
50,90,0.3790377064616367,0.6209622935383633
50,95,0.48919342837108115,0.5108065716289188
50,114,0.22493211492585768,0.7750678850741424
52,56,0.2571452741734763,0.7428547258265237
52,63,0.2609626426719545,0.7390373573280455
52,65,0.20840484047473662,0.7915951595252634
52,101,0.24530976182670838,0.7546902381732916
52,113,0.21121022151330718,0.7887897784866928
53,57,0.43200728920467146,0.5679927107953285
53,61,0.2632928456612474,0.7367071543387527
53,74,0.25351428498027007,0.7464857150197299
53,84,0.27699106842358356,0.7230089315764164
53,90,0.2735094079372907,0.7264905920627093
54,55,0.25631779648805836,0.7436822035119417
54,82,0.21225029361711523,0.7877497063828848
54,83,0.27213420176467645,0.7278657982353236
54,93,0.20939152849341236,0.7906084715065876
54,104,0.2655130526824579,0.7344869473175422
54,114,0.35363572536183574,0.6463642746381643
55,61,0.39081062961590435,0.6091893703840956
55,67,0.25470382150358256,0.7452961784964174
55,85,0.44116730886231725,0.5588326911376827
55,92,0.2904523022300426,0.7095476977699574
55,95,0.30279418619209975,0.6972058138079003
55,104,0.2217528419226149,0.7782471580773851
55,118,0.22973817518926462,0.7702618248107354
56,79,0.26364240221557167,0.7363575977844283
56,80,0.26560186614489995,0.7343981338551
56,102,0.2212041054038912,0.7787958945961088
56,113,0.28870524938683256,0.7112947506131675
56,116,0.265738106252438,0.734261893747562
57,61,0.25088600765570407,0.749113992344296
57,66,0.29624766498058264,0.7037523350194174
57,74,0.4061230663080636,0.5938769336919364
57,81,0.24305425869145889,0.7569457413085411
57,93,0.27481243980639175,0.7251875601936082
57,95,0.20860039746713155,0.7913996025328685
57,110,0.3608552903696463,0.6391447096303537
58,62,0.21213465780871907,0.7878653421912809
58,69,0.23344651147854614,0.7665534885214539
58,101,0.2170387705164641,0.7829612294835359
58,113,0.21525863283524638,0.7847413671647536
58,118,0.2120770478320564,0.7879229521679436
59,113,0.2599446750790713,0.7400553249209287
61,86,0.28753434063479466,0.7124656593652053
61,104,0.4112066912486415,0.5887933087513585
61,110,0.44662570617477815,0.5533742938252219
62,79,0.2874319865621416,0.7125680134378585
62,80,0.29734034962629025,0.7026596503737097
63,101,0.2337198480045408,0.7662801519954592
63,102,0.217863793223827,0.782136206776173
63,118,0.2893055503729191,0.7106944496270808
63,120,0.22374724724006906,0.776252752759931
64,109,0.2134841426490344,0.7865158573509656
64,118,0.2739356666506103,0.7260643333493897
65,90,0.2089956222235293,0.7910043777764707
65,123,0.2716364314689004,0.7283635685310996
66,103,0.35687686830395515,0.6431231316960448
66,110,0.21964259444340595,0.780357405556594
66,114,0.20661064646170654,0.7933893535382934
67,85,0.21216228864871411,0.7878377113512859
67,104,0.23373169230565707,0.766268307694343
67,110,0.2371573815912207,0.7628426184087793
69,101,0.22691074976260736,0.7730892502373926
69,123,0.23808204866395546,0.7619179513360446
70,90,0.3010787522440066,0.6989212477559934
70,93,0.21987780023514322,0.7801221997648567
70,106,0.36989889832688366,0.6301011016731164
70,109,0.2891281314727454,0.7108718685272546
70,116,0.21595762137107724,0.7840423786289228
72,90,0.24176138417212,0.75823861582788
72,94,0.4357531036821333,0.5642468963178666
72,105,0.3058986383677255,0.6941013616322744
72,106,0.28942716855977246,0.7105728314402275
72,108,0.2880511345073311,0.7119488654926689
72,110,0.23238990217317188,0.7676100978268281
74,97,0.2884425926930938,0.7115574073069062
79,102,0.5572342806834445,0.4427657193165555
79,117,0.21957270384253216,0.7804272961574679
80,81,0.3202123010751093,0.6797876989248908
80,102,0.277363128062262,0.7226368719377381
81,86,0.22711007761221302,0.772889922387787
81,104,0.235592612492825,0.764407387507175
81,110,0.35997996411918753,0.6400200358808125
81,111,0.23962532443636386,0.7603746755636361
81,114,0.24576806044260008,0.7542319395574
83,90,0.2166267963775836,0.7833732036224164
83,93,0.22959067002391997,0.77040932997608
83,94,0.2299272002173263,0.7700727997826737
83,97,0.2111611109933941,0.7888388890066059
83,114,0.3250658809292649,0.6749341190707351
